name,surname,forename,orcid,wikidata
"Do Dinh, Erik-Lân",,,,
"Dogaru, George",,,0000-0001-9500-9638,
"Dogaru, Teodora",,,,
"Dogunke, Swantje",,,0000-0002-5293-7044,
"Dogunke, Swantje",,,0000-0002-5293-7044,
"Dogunke, Swantje",,,,
"Dogunke, Swantje",,,,
"Dogunke, Swantje",,,,
"Dogunke, Swantje",,,,
"Dogunke, Swantje",,,,
"Dogunke, Swantje",,,,
"Dogunke, Swantje",,,,
"Döhling, Lars",,,,
"Dombrowski, Fabian",,,,
"Donandt, Kathrin",,,,
"Dönicke, Tillmann",,,0000-0001-5844-9167,
"Dönicke, Tillmann",,,,
"Donig, Simon",,,0000-0002-1741-466X,
"Donig, Simon",,,,
"Donig, Simon",,,,
"Donig, Simon",,,,
"Donig, Simon",,,,
"Doppelbauer, Regina",,,,
"Doppler, Carina",,,,
"Döring, Sophie",,,0009-0006-2258-5304,
"Dörk, Marian",,,0000-0002-3469-7841,
"Dörk, Marian",,,0000-0002-3469-7841,
"Dörk, Marian",,,,
"Dörk, Marian",,,,
"Dörk, Marian",,,,
"Dörk, Marian",,,,
"Dörk, Marian",,,,
"Dörk, Marian",,,,
"Dörk, Marian",,,,
"Dörk, Uwe",,,,
"Dorn, Amelie",,,,
"Dorn, Amelie",,,,
"Drach, Sviatoslav",,,,
"Drach, Sviatoslav",,,,
"Drach, Sviatoslav",,,,
"Draxler, Christoph",,,,
"Drechsler, Rolf",,,0000-0002-9872-1740,
"Dreyer, Malte",,,0000-0002-1775-8622,
"Dreyer, Malte",,,,
"Dreyer, Malte",,,,
"Dreyer, Malte",,,,
"Dröge, Martin",,,,
"Druskat, Stephan",,,,
"Druskat, Stephan",,,,
"Druskat, Stephan",,,,
"Druskat, Stephan",,,,
"Du, Keli",,,0000-0001-7800-0682,
"Du, Keli",,,0000-0001-7800-0682,
"Du, Keli",,,0000-0001-7800-0682,
"Du, Keli",,,,
"Du, Keli",,,,
"Du, Keli",,,,
"Duan, Tinghui",,,0000-0002-3324-0938,
"Duan, Tinghui",,,,
"Dubova, Alona",,,,
"Dubowy, Norbert",,,,
"Dubray, David",,,,
"Dubray, David",,,,
"Duchesne, Paul",,,,
"Dudar, Julia",,,0000-0001-5545-9562,
"Dudar, Julia",,,0000-0001-5545-9562,
"Dufner, Matthias",,,,
"Dumm, Sebastian",,,,
"Dumont, Stefan",,,0000-0002-6923-0950,
"Dumont, Stefan",,,0000-0002-6923-0950,
"Dumont, Stefan",,,,
"Dumont, Stefan",,,,
"Dumont, Stefan",,,,
"Dumont, Stefan",,,,
"Dunkelmann, Lena",,,0000-0003-1655-2910,
"Dunst, Alexander",,,,
"Dunst, Alexander",,,,
"Dunst, Alexander",,,,
"Durco, Matej",,,,
"Durco, Matej",,,,
"Ďurčo, Matej",,,0000-0002-5274-8278,
"Ďurčo, Matej",,,0000-0002-5274-8278,
"Ďurčo, Matej",,,,
"Durdaği, A. Nursen",,,0000-0002-9596-3381,
"Dürfeld, Michael",,,,
"Düring, Marten",,,0000-0001-7411-771X,
"Düring, Marten",,,0000-0001-7411-771X,
"Düring, Marten",,,,
"Düring, Marten",,,,
"Düring, Marten",,,,
"Dutschke, René",,,,
