speaker-name,number-of-lectures
'0000-0001-7154-7917',1
'0000-0003-4674-1042',1
'0000-0002-0417-4054',1
'0000-0002-6478-5260',1
'0000-0003-0876-6177',1
'0000-0002-6878-2761',1
'0009-0000-7697-3683',1
'Q126692018',1
'0000-0003-2881-0972',1
'0000-0003-3511-385X',1
'0000-0002-9537-5774',1
'0000-0001-7864-0129',1
'0000-0002-4347-9045',1
'0009-0000-4415-160X',1
'Q126595637',1
'0000-0001-8473-1481',1
'0000-0002-3108-8936',1
'0000-0002-1076-2936',1
'0000-0003-1639-7359',1
'Q126692022',1
'0000-0002-8150-9276',1
'0000-0003-0032-3435',1
'0009-0003-6989-6001',1
'0000-0002-4410-2231',1
'0000-0003-2834-4342',1
'0000-0002-8849-2980',1
'0000-0003-0835-165X',1
'0000-0003-4336-0180',1
'0000-0002-1554-9974',1
'0009-0005-5153-2482',1
'0000-0001-6936-9381',1
'0000-0001-9698-7513',1
'0000-0002-6541-228X',1
'0000-0002-6991-5730',1
'Q126596311',1
'0000-0002-8283-7204',1
'0000-0003-0350-3562',1
'0000-0003-1110-4131',1
'Q126692031',1
'0000-0002-5201-1014',1
'0000-0002-7502-0503',1
'0000-0001-5339-8460',1
'0000-0003-0321-4074',1
'0009-0004-3738-1350',1
'0000-0001-8717-2291',1
'0000-0002-1845-9747',1
'Q126692035',1
'0000-0002-2102-4170',1
'0009-0006-4499-3392',1
'0000-0002-4651-5638',1
'0000-0001-5864-8465',1
'0000-0002-3038-6202',1
'0009-0008-8346-0614',1
'0000-0001-6093-572X',1
'Q126596336',1
'0000-0002-2061-2974',1
'0000-0001-8509-8171',1
'0000-0003-2009-6882',1
'0000-0003-2141-5566',1
'0009-0003-8259-6185',1
'Q126692048',1
'0000-0002-8653-5051',1
'0000-0002-1252-144X',1
'0000-0002-1528-2181',1
'0000-0002-9699-2360',1
'0000-0001-5184-2679',1
'0000-0002-4837-5157',1
'0000-0002-3934-9766',1
'0009-0007-2416-2353',1
'0009-0006-1584-0717',1
'0000-0003-0743-3346',1
'0000-0003-3185-7341',1
'0000-0003-3459-3898',1
'0000-0001-5198-2225',1
'0000-0003-2323-5681',1
'0000-0002-2257-7236',1
'Q126594542',1
'0000-0002-0032-9696',1
'0009-0004-3436-9516',1
'0000-0001-7183-8984',1
'0000-0003-2713-5207',1
'0000-0003-3371-6163',1
'0000-0003-0954-4322',1
'0000-0001-6043-0350',1
'0000-0002-3051-0621',1
'0000-0001-5005-9770',1
'0000-0002-8844-8760',1
'Q126692057',1
'0000-0003-0652-4748',1
'0000-0002-4817-4283',1
'0009-0004-8244-4277',1
'Q126596012',1
'0000-0002-6424-873X',1
'0000-0001-8687-075X',1
'0000-0003-4612-8109',1
'0000-0002-3020-2776',1
'0000-0003-1905-2145',1
'Q126596299',1
'0000-0002-6516-1740',1
'0000-0002-9718-690X',1
'0000-0002-7511-098X',1
'0000-0002-2141-6721',1
'0000-0002-6733-3294',1
'0000-0002-0838-1034',1
'0000-0003-2664-5010',1
'0000-0002-5158-6625',1
'Q126595692',1
'Q126595693',1
'Q126594597',1
'0000-0003-0969-6297',1
'Q126594602',1
