speaker-name,number-of-lectures
Malte Heckelen,2
Jana Keck,2
Svenja Guhr,2
Lev Manovich,2
Lorna Hughes,2
Marieke van Erp,2
Chiara Zuanni,2
Immo Trinks,2
Rebecca Kahn,2
Dirk Hovy,2
Richard Rogers,2
Achim Rabus,2
Peter Leonard,2
Elisa Corrò,3
Claes Neuefeind,3
Andreas Witt,3
Alexander Czmiel,3
Berenike Herrmann,3
Zoe Schubert,3
Louise Tharandt,3
Mario Baumann,3
Orit Halpern,3
Anke Langner,3
Manuel Burghardt,3
Noah Bubenhofer,3
Miguel Escobar Varela,3
Angelika Zirker,3
Gabriel Viehhauser,3
Marc Priewe,3
Vanessa Hannesschläger,3
Maxim Romanov,3
Karin Wagner,3
Ray Siemens,4
Jürgen Hermes,4
Nils Reiter,4
Christopher Pollin,4
Alexander Lasch,4
Kay-Michael Würzner,4
Susanne Haaf,4
Johannes Preiser-Kapeller,4
Hannes Fellner,4
Florian Windhager,4
Lisa Dieckmann,5
Frank Fischer,5
Stefan Dumont,5
Tara Andrews,5
Thomas Wallnig,6
Ulrike Henny-Krahmer,6
Enes Türkoğlu,6
Simon Meier-Vieracker,6
Elisa Cugliana,6
Christian Thomas,6
Patrick Sahle,7
Tessa Gengnagel,7
Mareike Schumacher,9
