TermOrganizers	LectureSpeaker	SeriesId	EdgeId	speaker	affiliation
wuerzner_kay-michael	haaf_susanne (bbaw)	ls12	ls12_t3_l3	haaf_susanne	bbaw
wuerzner_kay-michael	czmiel_alexander (bbaw)	ls12	ls12_t3_l3	czmiel_alexander	bbaw
wuerzner_kay-michael	mueller-laackman_jonas (bbaw)	ls12	ls12_t3_l3	mueller-laackman_jonas	bbaw
wuerzner_kay-michael	pohl_oliver (bbaw)	ls12	ls12_t3_l3	pohl_oliver	bbaw
wuerzner_kay-michael	thomas_christian (bbaw)	ls12	ls12_t3_l3	thomas_christian	bbaw
wuerzner_kay-michael	tuerkoglu_enes (uni-koeln)	ls12	ls12_t3_l4	tuerkoglu_enes	uni-koeln
wuerzner_kay-michael	middell_gregor (pagina)	ls12	ls12_t3_l5	middell_gregor	pagina
wuerzner_kay-michael	jarosch_julian (adw-mainz)	ls12	ls12_t3_l6	jarosch_julian	adw-mainz
wuerzner_kay-michael	wuttke_ulrike (fh-potsdam)	ls12	ls12_t3_l7	wuttke_ulrike	fh-potsdam
wuerzner_kay-michael	klar_jochen (self-employment)	ls12	ls12_t3_l7	klar_jochen	self-employment
wuerzner_kay-michael	groetschel_martin (bbaw)	ls12	ls12_t3_l8	groetschel_martin	bbaw
wuerzner_kay-michael	bubenhofer_noah (uni-zuerich)	ls12	ls12_t3_l9	bubenhofer_noah	uni-zuerich
wuerzner_kay-michael	diehr_franziska (spk)	ls12	ls12_t3_l10	diehr_franziska	spk
wuerzner_kay-michael	glinka_katrin (spk)	ls12	ls12_t3_l10	glinka_katrin	spk
wuerzner_kay-michael	trilcke_peer (uni-potsdam)	ls12	ls12_t3_l11	trilcke_peer	uni-potsdam
wuerzner_kay-michael	busch_anna (uni-potsdam)	ls12	ls12_t3_l11	busch_anna	uni-potsdam
wuerzner_kay-michael	bludau_mark-jan (fh-potsdam)	ls12	ls12_t3_l11	bludau_mark-jan	fh-potsdam
vertan_cristina	fry_alex (psycle)	ls12	ls12_t3_l1	fry_alex	psycle
vertan_cristina	gardner_roy (psycle)	ls12	ls12_t3_l1	gardner_roy	psycle
vertan_cristina	pollin_christopher (uni-graz)	ls12	ls12_t3_l2	pollin_christopher	uni-graz
vertan_cristina	haaf_susanne (bbaw)	ls12	ls12_t3_l3	haaf_susanne	bbaw
vertan_cristina	czmiel_alexander (bbaw)	ls12	ls12_t3_l3	czmiel_alexander	bbaw
vertan_cristina	mueller-laackman_jonas (bbaw)	ls12	ls12_t3_l3	mueller-laackman_jonas	bbaw
vertan_cristina	pohl_oliver (bbaw)	ls12	ls12_t3_l3	pohl_oliver	bbaw
vertan_cristina	thomas_christian (bbaw)	ls12	ls12_t3_l3	thomas_christian	bbaw
vertan_cristina	tuerkoglu_enes (uni-koeln)	ls12	ls12_t3_l4	tuerkoglu_enes	uni-koeln
vertan_cristina	middell_gregor (pagina)	ls12	ls12_t3_l5	middell_gregor	pagina
vertan_cristina	jarosch_julian (adw-mainz)	ls12	ls12_t3_l6	jarosch_julian	adw-mainz
vertan_cristina	wuttke_ulrike (fh-potsdam)	ls12	ls12_t3_l7	wuttke_ulrike	fh-potsdam
vertan_cristina	klar_jochen (self-employment)	ls12	ls12_t3_l7	klar_jochen	self-employment
vertan_cristina	groetschel_martin (bbaw)	ls12	ls12_t3_l8	groetschel_martin	bbaw
vertan_cristina	bubenhofer_noah (uni-zuerich)	ls12	ls12_t3_l9	bubenhofer_noah	uni-zuerich
vertan_cristina	diehr_franziska (spk)	ls12	ls12_t3_l10	diehr_franziska	spk
vertan_cristina	glinka_katrin (spk)	ls12	ls12_t3_l10	glinka_katrin	spk
vertan_cristina	trilcke_peer (uni-potsdam)	ls12	ls12_t3_l11	trilcke_peer	uni-potsdam
vertan_cristina	busch_anna (uni-potsdam)	ls12	ls12_t3_l11	busch_anna	uni-potsdam
